tanggal,teks

2022-02-24 08:18:50+00:00,b'22 hari menuju MotoGP 2022 Mandalika\n#motogpmandalika https://t.co/A7TOc7S4Jy'

2022-02-24 08:04:31+00:00,b'Tips Menonton MotoGP Mandalika 2022: Dari Patuhi Prokes hingga Sisihkan Waktu Eksplor Lombok...\n\n#MotoGP\xe2\x80\xa6 https://t.co/l75QuYNSi3'

2022-02-24 07:00:31+00:00,b'CEO Dorna Sports Carmelo Ezpeleta mengatakan keputusan untuk melakukan pengaspalan ulang Sirkuit Mandalika.\xe2\x80\xa6 https://t.co/x6kzIBc28c'

2022-02-24 05:30:41+00:00,b'Pemprov NTB Ingin Masyarakat Lokal Terlibat Menonton MotoGP\n#MotoGP #NTB #pemprov #sirkuitmandalika\xe2\x80\xa6 https://t.co/6PEODnvnTK'

2022-02-24 02:16:15+00:00,b'MotoGP mandalika sebagai Misi Bangkitkan sektor Pariwisata \n------\n#LangkahWujudkanRIMaju\n#motogpmandalika https://t.co/Z1dDTFgAjL'

2022-02-24 02:07:24+00:00,b'Target #SirkuitMandalika rampung lebih cepat dari target #Dorna #MotoGP #MotoGPMandalika \n\nhttps://t.co/GYMIQoP31I'

2022-02-24 01:47:25+00:00,b'Pemprov NTB ingin warga lokal punya pengalaman menonton #MotoGP Indonesia #motogpmandalika https://t.co/yWD4HJ8yVb'

2022-02-23 23:40:01+00:00,"b'Kerikil di sirkuit jadi heboh, seolah lebih penting daripada warga yang tergusur #motogpmandalika'"

2022-02-23 12:46:09+00:00,"b'RT @KlubPomPI: Hai Para Pelaku Usaha,\n\nYuk ikut ikuti UMK Camp yang diadakan Badan POM via Zoom Meeting dan Live Streaming Youtube, pada ta\xe2\x80\xa6'"

2022-02-23 10:52:00+00:00,b'Program ini selaras dengan strategi Pemerintah dalam membangun semangat masyarakat dengan mendorong antusiasme pada\xe2\x80\xa6 https://t.co/lN4zL9qyOv'

2022-02-23 10:19:00+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-23 10:17:34+00:00,"b'LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\nElectrizen, pelaksanaan tes pramusim MotoGP di\xe2\x80\xa6 https://t.co/hhRviVjjYA'"

2022-02-23 08:37:34+00:00,b'Pembalap Repsol Honda\nAsal Spanyol\nPol Espargaro incar Podium \nPada Balapan Debut musim ini\n #motogpmandalika https://t.co/N8O61ilYMf'

2022-02-23 07:46:07+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

