tweet_clean,Tweet
"['a', 'c', 'nya', 'min', 'mainnakerpresidensiggindonesiaewgindonesia']",a c nya min mainnakerpresidensiggindonesiaewgindonesia
"['acara', 'jg', 'momentum', 'kuat', 'promosi', 'produk', 'umkm', 'lokal', 'yg', 'jalan', 'dg', 'agenda', 'inklusi', 'uang', 'pd', 'presidensi', 'g']",acara jg momentum kuat promosi produk umkm lokal yg jalan dg agenda inklusi uang pd presidensi g
"['alhamdulillah', 'presiden', 'elon', 'musk', 'hadir', 'gindonesia', 'november']",alhamdulillah presiden elon musk hadir gindonesia november
"['alhamdulillah', 'presiden', 'hadir', 'november']",alhamdulillah presiden hadir november
"['amerika', 'negara', 'besara', 'negara', 'pro', 'damai', 'amerika', 'gindonesia']",amerika negara besara negara pro damai amerika gindonesia
"['anggota', 'g', 'seru', 'perang', 'mungkin hal', 'menkeusmi', 'konferesi', 'pers', 'ada']",anggota g seru perang mungkin hal menkeusmi konferesi pers ada
"['ayo', 'takut', '', 'amerika', 'rusia', 'ketemu', '', 'bal', '', 'gindonesia', 'hebat', '', 'bu', 'da']",ayo takut amerika rusia ketemu bal gindonesia hebat bu da
"['bahas', 'isu', 'temu', 'sherpa', 'track', 'harap', 'hasil', 'political', 'declaration', 'tingkat', 'mente']",bahas isu temu sherpa track harap hasil political declaration tingkat mente
"['bahlil', 'presidensi', 'g', 'indonesia', 'momentum', 'baik', 'rangka', 'bangun', 'konsepsi', 'gl']",bahlil presidensi g indonesia momentum baik rangka bangun konsepsi gl
"['', 'bal', '', '', 'gindonesiaakan', 'putus']",bal gindonesiaakan putus
"['', 'bal', '', '', 'gindonesiaakan', 'putus', 'm']",bal gindonesiaakan putus m
"['bekerjasama', 'sinarmas', 'land', 'ada', 'side', 'event', 'temaac']",bekerjasama sinarmas land ada side event temaac
"['bentuk', 'pasar', 'ekologis', 'inisiasi', 'pulih', 'lokasi', 'bekas', 'tambang']",bentuk pasar ekologis inisiasi pulih lokasi bekas tambang
"['berani', 'presiden', 'tolak', 'intervensi', 'us', 'undang', 'rusia', 'ukraina', 'gindonesia', 'sorot', 'media', 'dunia']",berani presiden tolak intervensi us undang rusia ukraina gindonesia sorot media dunia
"['berita', 'komitmen', 'indonesia', 'tunisia', 'buka', 'tingkat', 'kerjasama', 'bidang', 'ekonomi']",berita komitmen indonesia tunisia buka tingkat kerjasama bidang ekonomi
"['berlangsungthe', 'g', 'sustainable', 'finance', 'private', 'sector', 'roundtable', 'xd', 'forum', 'diskus']",berlangsungthe g sustainable finance private sector roundtable xd forum diskus
"['besok', 'turnamen', 'final', 'arena', 'dr', 'zomboss', 'comeback pvz', 'arena', 'pennyspursuit', 'gindonesia']",besok turnamen final arena dr zomboss comeback pvz arena pennyspursuit gindonesia
"['bonus', 'demografi', 'sempat', 'strategis', 'x', 'cepat', 'bangun', 'du']",bonus demografi sempat strategis x cepat bangun du
"['capai', 'raih', 'agenda', 'prioritas', 'edwg', 'bahas', 'solidaritas']",capai raih agenda prioritas edwg bahas solidaritas
"['cepat', 'inklusi', 'uang', 'transformasi', 'digital', 'dorong', 'tumbuh', 'ekonomi', 'lanjut', 'salah', 'fo']",cepat inklusi uang transformasi digital dorong tumbuh ekonomi lanjut salah fo
"['cepat', 'inklusi', 'uang', 'transformasi', 'digital', 'dorong', 'tumbuh', 'ekonomi', 'lanjut', 'salah', 's']",cepat inklusi uang transformasi digital dorong tumbuh ekonomi lanjut salah s
"['cewe', 'bego', 'bencong', 'joget', 'suka', 'mending', 'doa', 'perang', 'event', 'g']",cewe bego bencong joget suka mending doa perang event g
"['cewe', 'bego', 'bencong', 'joget', 'tonton', 'ya', 'mending', 'doa', 'perang', 'event']",cewe bego bencong joget tonton ya mending doa perang event
"['cewe', 'ga', 'bencong', 'joget', 'diteriakin', 'mending', 'doa', 'perang', 'event', 'g']",cewe ga bencong joget diteriakin mending doa perang event g
"['coba', 'tulis', 'harap', 'presidensi', 'g', 'indonesia', 'kolom', 'komentar', 'ya', 'xgindonesia', 'pulihbersama']",coba tulis harap presidensi g indonesia kolom komentar ya xgindonesia pulihbersama
"['dana', 'fungsi', 'dukung', 'tahan', 'stabilitas', 'ekonomi', 'pulihbersama', 'asobat', 'pantau', 't']",dana fungsi dukung tahan stabilitas ekonomi pulihbersama asobat pantau t
"['dasar', 'lapor', 'climate', 'bonds', 'initiative', 'terbit', 'obligasi', 'hijau', 'green', 'bonds', 'indonesia', 'capai', 'us']",dasar lapor climate bonds initiative terbit obligasi hijau green bonds indonesia capai us
"['delegasi', 'dewg', 'g', 'upaya', 'atas', 'senjang', 'digital', 'bahas', 'perangkat', 'ukur', 'terampil', 'lite']",delegasi dewg g upaya atas senjang digital bahas perangkat ukur terampil lite
"['dewg', 'gindonesia', 'sepakat', 'isu', 'krusial', 'dunia', 'digital']",dewg gindonesia sepakat isu krusial dunia digital
"['digitalisasi', 'sektor', 'uang', 'salah', 'game', 'changer', 'dunia', 'upaya', 'pulihbersama', 'akibat', 'pandemi', 'covi']",digitalisasi sektor uang salah game changer dunia upaya pulihbersama akibat pandemi covi
