tweet_clean,label
"['a', 'c', 'nya', 'min', 'mainnakerpresidensiggindonesiaewgindonesia']",positif
"['acara', 'jg', 'momentum', 'kuat', 'promosi', 'produk', 'umkm', 'lokal', 'yg', 'jalan', 'dg', 'agenda', 'inklusi', 'uang', 'pd', 'presidensi', 'g']",positif
"['alhamdulillah', 'presiden', 'elon', 'musk', 'hadir', 'gindonesia', 'november']",positif
"['alhamdulillah', 'presiden', 'hadir', 'november']",positif
"['amerika', 'negara', 'besara', 'negara', 'pro', 'damai', 'amerika', 'gindonesia']",positif
"['anggota', 'g', 'seru', 'perang', 'mungkin hal', 'menkeusmi', 'konferesi', 'pers', 'ada']",positif
"['ayo', 'takut', '', 'amerika', 'rusia', 'ketemu', '', 'bal', '', 'gindonesia', 'hebat', '', 'bu', 'da']",negatif
"['bahas', 'isu', 'temu', 'sherpa', 'track', 'harap', 'hasil', 'political', 'declaration', 'tingkat', 'mente']",positif
"['bahlil', 'presidensi', 'g', 'indonesia', 'momentum', 'baik', 'rangka', 'bangun', 'konsepsi', 'gl']",positif
"['', 'bal', '', '', 'gindonesiaakan', 'putus']",positif
"['', 'bal', '', '', 'gindonesiaakan', 'putus', 'm']",positif
"['bekerjasama', 'sinarmas', 'land', 'ada', 'side', 'event', 'temaac']",positif
"['bentuk', 'pasar', 'ekologis', 'inisiasi', 'pulih', 'lokasi', 'bekas', 'tambang']",positif
"['berani', 'presiden', 'tolak', 'intervensi', 'us', 'undang', 'rusia', 'ukraina', 'gindonesia', 'sorot', 'media', 'dunia']",positif
"['berita', 'komitmen', 'indonesia', 'tunisia', 'buka', 'tingkat', 'kerjasama', 'bidang', 'ekonomi']",positif
"['berlangsungthe', 'g', 'sustainable', 'finance', 'private', 'sector', 'roundtable', 'xd', 'forum', 'diskus']",positif
"['besok', 'turnamen', 'final', 'arena', 'dr', 'zomboss', 'comeback pvz', 'arena', 'pennyspursuit', 'gindonesia']",positif
"['bonus', 'demografi', 'sempat', 'strategis', 'x', 'cepat', 'bangun', 'du']",positif
"['capai', 'raih', 'agenda', 'prioritas', 'edwg', 'bahas', 'solidaritas']",positif
"['cepat', 'inklusi', 'uang', 'transformasi', 'digital', 'dorong', 'tumbuh', 'ekonomi', 'lanjut', 'salah', 'fo']",negatif
"['cepat', 'inklusi', 'uang', 'transformasi', 'digital', 'dorong', 'tumbuh', 'ekonomi', 'lanjut', 'salah', 's']",negatif
"['cewe', 'bego', 'bencong', 'joget', 'suka', 'mending', 'doa', 'perang', 'event', 'g']",negatif
"['cewe', 'bego', 'bencong', 'joget', 'tonton', 'ya', 'mending', 'doa', 'perang', 'event']",negatif
"['cewe', 'ga', 'bencong', 'joget', 'diteriakin', 'mending', 'doa', 'perang', 'event', 'g']",negatif
"['coba', 'tulis', 'harap', 'presidensi', 'g', 'indonesia', 'kolom', 'komentar', 'ya', 'xgindonesia', 'pulihbersama']",positif
"['dana', 'fungsi', 'dukung', 'tahan', 'stabilitas', 'ekonomi', 'pulihbersama', 'asobat', 'pantau', 't']",positif
"['dasar', 'lapor', 'climate', 'bonds', 'initiative', 'terbit', 'obligasi', 'hijau', 'green', 'bonds', 'indonesia', 'capai', 'us']",positif
"['delegasi', 'dewg', 'g', 'upaya', 'atas', 'senjang', 'digital', 'bahas', 'perangkat', 'ukur', 'terampil', 'lite']",positif
"['dewg', 'gindonesia', 'sepakat', 'isu', 'krusial', 'dunia', 'digital']",positif
"['digitalisasi', 'sektor', 'uang', 'salah', 'game', 'changer', 'dunia', 'upaya', 'pulihbersama', 'akibat', 'pandemi', 'covi']",positif
"['direktur', 'utama', 'rumah', 'sakit', 'pusat', 'infeksi', 'sulianti', 'saroso', 'dr', 'mohammad', 'syahril', 'resmi', 'juru', 'bicara', 'kemenkes', 's']",positif
"['diskusi', 'aspirasi', 'delegasi', 'negara', 'g', 'kemendikbudristek', 'ikut', 'informasi']",positif
"['duduk', 'usia', 'produktif', 'x', 'banding', 'usia', 'nonproduktif']",positif
"['dukung', 'umkmgodigital goglobal', 'bahas', 'utama', 'kki', 'giat']",positif
"['dunia', 'didik', 'alami', 'pandemi', 'covid', 'salah', 'perhat']",negatif
"['ekosistem', 'didik', 'indonesia', 'gotong', 'royong', 'akselerasi', 'transformasi', 'seba']",positif
"['era', 'indonesia', 'e', 'jalan', 'bangga', 'kepala', 'tegak', 'hadap', 'bangsa', 'tunduk', 'tegak', 'in']",positif
"['final', 'dokumen', 'sidang', 'ganti', 'wali', 'anak', 'almh', 'farah berita', 'lengkap', 'silah', 'klik', 'link']",positif
"['g', 'empower', 'gelar', 'plenary', 'meeting', 'yogyakarta', 'dorong', 'kontribusi', 'peran', 'perempuan']",positif
"['gera', 'nasional', 'literasi', 'digital', 'digital', 'talent', 'scholarship', 'digital', 'leadership', 'academy', 'program', 'kartu', 'prakerjalpsi']",positif
"['giat', 'bahas', 'tantang', 'upaya', 'kuat', 'produktivitas', 'daya', 'saing']",positif
"['gila', 'bencong', 'nari', 'tonton', 'pikirin', 'tuh', 'ancam', 'event', 'g', 'bal', 'indonesia']",negatif
"['gila', 'lo', 'ga', 'bahas', 'perang', 'rusia', 'ukraina', 'g', 'formula', 'e', 'urus', 'bang', 'mending', 'lo', 'nonton']",negatif
"['guna', 'kendara', 'listrik', 'salah', 'strategi', 'capai', 'target', 'indonesia', 'turun', 'emisi']",positif
"['hai', 'sohisebagai', 'temu', 'konferensi', 'internasional', 'imf', 'world', 'bank', 'ktt', 'g']",positif
"['halo', 'sobatkom', 'bentuk', 'g', 'tuju', 'wujud', 'tumbuh', 'global', 'kuat', 'lanjut', 'lantas']",positif
"['halo', 'sobatkom', 'indonesia', 'resmi', 'pegang', 'presidensi', 'g', 'penuh', 'manfaat']",positif
"['happy', 'vesak', 'day pray', 'for', 'peace', 'and', 'harmony', 'on', 'this', 'auspicious', 'day selamat', 'raya', 'waisak', 'be']",positif
"['hardiknas', 'rutan', 'jeneponto', 'gelar', 'upacara', 'bendera', 'ingat', 'didik', 'nasional', 'lengkap', 'baca', '']",positif
"['hubung', 'bonus', 'demografi', 'loh', 'lpsindonesia', 'amanadalps', 'lpsamanadat', 'sa']",positif
"['ikut', 'kembang', 'informasi', 'kini', 'putar', 'laksana', 'dewg', 'media', 'sosial', 'ya', 'xgindonesia']",positif
"['ikut', 'kembang', 'informasi', 'kini', 'putar', 'laksana', 'dewg', 'media', 'sosial', 'ya', 'xgindonesia', 'pulihbersama']",positif
"['indonesia', 'gpedia', 'lapang', 'kerja', 'lanjut', 'agenda', 'x', 'g']",positif
"['indonesia', '', 'indonesiajuara', 'indonesiahebatindonesiadamai']",positif
"['indonesia', 'peluang', 'untukrewriting', 'global', 'ev', 'and', 'esg', 'supply', 'chain', 'xd', 'kombinasi', 'sumber', 'daya', 'alam', 'indust']",positif
"['inklusi', 'uang', 'transformasi', 'digital', 'ya maka', 'topik']",positif
"['insinyur', 'usaha', 'kagum', 'nikmat', 'sempat', 'langka', 'kunjung']",positif
"['joget', 'kaya', 'bencong', 'aja', 'yg', 'nonton', 'org', 'indo', 'mikir', 'ancam', 'event']",negatif
"['jokowi', 'effect', 'harga', 'sawit', 'rekor', 'tinggi', 'minyakgoreng', 'cpo', 'sawit', 'indonesia', 'g', 'gindonesia']",negatif
"['jubir', 'g', 'maudy', 'ayunda', 'fokus', 'utama', 'isu', 'energi', 'gindonesia', 'maudyayunda', 'jernihkanharapan', 'kompascom']",negatif
