,tweet_tokens
0,"['dan', 'jawaban', 'nya', 'min', 'mainnakerpresidensiggindonesiaewgindonesia']"
1,"['ayo', 'siapa', 'yang', 'takut', 'amerika', 'rusia', 'ketemuan', 'di', 'bali', 'gindonesia', 'hebatnya', 'bu', 'da']"
2,"['gerakan', 'nasional', 'literasi', 'digital', 'digital', 'talent', 'scholarship', 'digital', 'leadership', 'academy', 'program', 'kartu', 'prakerjalpsi']"
3,"['indonesia', 'indonesiajuara', 'indonesiahebatindonesiadamai']"
4,"['keren', 'bangetmas', 'memtri', 'dengan', 'program', 'merdeka', 'belajarnyagindonesia', 'presidensiindonesia']"
5,"['konsumen', 'konsumen', 'industri', 'dan', 'rumah', 'tangga', 'perlu', 'segera', 'diberdayakan', 'menjadi', 'koperasi', 'koperasi']"
6,"['lapor', 'pak', 'bisanya', 'cewe', 'sekarang', 'bego', 'bencong', 'joget', 'malah', 'disuka', 'mendingan', 'pada', 'doa', 'perang', 'mau']"
7,"['pak', 'yth', 'kami', 'perencana', 'koperasi', 'memastikan', 'bahwa', 'core', 'values', 'bagi']"
8,"['sepertinya', 'di', 'bali', 'saat', 'gindonesiaakan', 'ada', 'keputusan', 'dari', 'yang', 'bisa']"
9,"['cewe', 'ga', 'jelas', 'bencong', 'joget', 'malah', 'diteriakin', 'mendingan', 'pada', 'doa', 'perang', 'mau', 'datang', 'di', 'event', 'di']"
10,"['cewe', 'sekarang', 'bego', 'bencong', 'joget', 'malah', 'disuka', 'mendingan', 'pada', 'doa', 'perang', 'mau', 'datang', 'di', 'event']"
11,"['cewe', 'sekarang', 'bego', 'bencong', 'joget', 'malah', 'ditonton', 'ya', 'mendingan', 'pada', 'doa', 'perang', 'mau', 'datang', 'di', 'event']"
12,"['gila', 'bencong', 'nari', 'ditonton', 'pikirin', 'tuh', 'ancaman', 'mau', 'datang', 'di', 'event', 'di', 'bali', 'indonesia', 'akan']"
13,"['gila', 'lo', 'ga', 'usah', 'bahas', 'perang', 'rusia', 'ukraina', 'di', 'formula', 'urusan', 'bang', 'mending', 'lo', 'nonton']"
14,"['jika', 'amerika', 'adalah', 'negara', 'besara', 'dan', 'negara', 'yang', 'pro', 'perdamaian', 'maka', 'amerika', 'akan', 'datang', 'gindonesia']"
15,"['joget', 'kaya', 'bencong', 'aja', 'banyak', 'yg', 'nonton', 'org', 'indo', 'harusnya', 'mikir', 'ancaman', 'lebih', 'besar', 'mau', 'datang', 'di', 'event']"
16,"['kesel', 'lah', 'gw', 'masa', 'isi', 'twitter', 'bencong', 'joget', 'semua', 'pada', 'ga', 'mikir', 'apa', 'indonesia']"
