,tweet_tokens_WSW
0,"['min', 'mainnakerpresidensiggindonesiaewgindonesia']"
1,"['ayo', 'takut', 'amerika', 'rusia', 'ketemuan', 'bali', 'gindonesia', 'hebatnya', 'bu', 'da']"
2,"['gerakan', 'nasional', 'literasi', 'digital', 'digital', 'talent', 'scholarship', 'digital', 'leadership', 'academy', 'program', 'kartu', 'prakerjalpsi']"
3,"['indonesia', 'indonesiajuara', 'indonesiahebatindonesiadamai']"
4,"['keren', 'bangetmas', 'memtri', 'program', 'merdeka', 'belajarnyagindonesia', 'presidensiindonesia']"
5,"['konsumen', 'konsumen', 'industri', 'rumah', 'tangga', 'diberdayakan', 'koperasi', 'koperasi']"
6,"['lapor', 'bisanya', 'cewe', 'bego', 'bencong', 'joget', 'disuka', 'mendingan', 'doa', 'perang']"
7,"['yth', 'perencana', 'koperasi', 'core', 'values']"
8,"['bali', 'gindonesiaakan', 'keputusan']"
9,"['cewe', 'bencong', 'joget', 'diteriakin', 'mendingan', 'doa', 'perang', 'event']"
10,"['cewe', 'bego', 'bencong', 'joget', 'disuka', 'mendingan', 'doa', 'perang', 'event']"
11,"['cewe', 'bego', 'bencong', 'joget', 'ditonton', 'mendingan', 'doa', 'perang', 'event']"
12,"['gila', 'bencong', 'nari', 'ditonton', 'pikirin', 'ancaman', 'event', 'bali', 'indonesia']"
13,"['gila', 'lo', 'bahas', 'perang', 'rusia', 'ukraina', 'formula', 'urusan', 'bang', 'mending', 'lo', 'nonton']"
14,"['amerika', 'negara', 'besara', 'negara', 'pro', 'perdamaian', 'amerika', 'gindonesia']"
15,"['joget', 'kaya', 'bencong', 'nonton', 'org', 'indo', 'mikir', 'ancaman', 'event']"
16,"['kesel', 'gw', 'isi', 'twitter', 'bencong', 'joget', 'mikir', 'indonesia']"
17,"['menetapkan', 'kota', 'bandung', 'jawa', 'barat', 'lokasi', 'penyelenggaraan', 'pertemuan', 'kelompok', 'kerja']"
18,"['ngapain', 'lo', 'ngurusin', 'bencong', 'nari', 'pikirin', 'formula', 'ancaman', 'event']"
19,"['potensi', 'kekuatan', 'indonesia', 'membangun', 'kerja', 'konkret', 'perusahaan', 'amerika', 'serikat', 'indonesia', 'berkemban']"
20,"['berupaya', 'mewujudkan', 'transformasi', 'digital', 'negeri', 'memperjuangkannya']"
21,"['berlangsungthe', 'sustainable', 'finance', 'private', 'sector', 'roundtable', 'xd', 'forum', 'berdiskusi']"
22,"['acara', 'jg', 'momentum', 'memperkuat', 'promosi', 'produk', 'umkm', 'lokal', 'sejalan', 'agenda', 'inklusi', 'keuangan', 'pd', 'presidensi']"
23,"['alhamdulillah', 'presiden', 'elon', 'musk', 'hadir', 'gindonesia', 'november']"
24,"['alhamdulillah', 'presiden', 'hadir', 'november']"
25,"['anggota', 'menyerukan', 'perang', 'mungkinhal', 'menkeusmi', 'konferesi', 'pers', 'diada']"
26,"['women', 'business', 'action', 'council', 'wibac', 'menggelar', 'pertemuan', 'bilateral', 'menteri', 'koperasi', 'ukm', 'republik', 'indo']"
27,"['rencana', 'renovasi', 'kubah', 'gedung', 'dpr', 'streaming', 'jam', 'kanal', 'youtube']"
28,"['bahlil', 'presidensi', 'indonesia', 'momentum', 'terbaik', 'rangka', 'membangun', 'konsepsi', 'gl']"
29,"['berdasarkan', 'laporan', 'climate', 'bonds', 'initiative', 'penerbitan', 'obligasi', 'hijau', 'green', 'bonds', 'indonesia', 'mencapai', 'us']"
30,"['berita', 'komitmen', 'indonesia', 'tunisia', 'membuka', 'peningkatan', 'kerjasama', 'bidang', 'ekonomi']"
31,"['besok', 'turnamen', 'final', 'arena', 'dr', 'zomboss', 'comebackpvz', 'arena', 'pennyspursuit', 'gindonesia']"
32,"['bonus', 'demografi', 'kesempatan', 'strategis', 'percepatan', 'pembangunan', 'du']"
33,"['dewg', 'gindonesia', 'sepakati', 'isu', 'krusial', 'dunia', 'digital']"
34,"['ekosistem', 'pendidikan', 'indonesia', 'bergotong', 'royong', 'akselerasi', 'transformasi', 'seba']"
35,"['pertemuan', 'kemendikbudristek', 'memperkuat', 'komitmen', 'pulihbersama', 'menciptakan', 'pendidikan']"
36,"['rangka', 'memperluas', 'diskusi', 'menyelenggarakan', 'kegiatan', 'road', 'to', 'investment', 'forum', 'topi']"
37,"['rangka', 'meningkatkan', 'upaya', 'strategis', 'gabungan', 'mempercepat', 'transisi', 'energi', 'mengurangi', 'emisi', 'karbon']"
38,"['rangka', 'mewujudkan', 'upaya', 'global', 'pulihbersama', 'menciptakan', 'pendidikan', 'berkualitas', 'dunia']"
39,"['delegasi', 'dewg', 'berupaya', 'atasi', 'kesenjangan', 'digital', 'membahas', 'perangkat', 'mengukur', 'keterampilan', 'lite']"
40,"['mengemuka', 'pertemuan', 'nd', 'global', 'partnership', 'for', 'financial', 'inclusion', 'plenary', 'meeting', 'diselenggarak']"
41,"['dana', 'berfungsi', 'mendukung', 'ketahanan', 'stabilitas', 'ekonomi', 'pulihbersama', 'asobat', 'pantau']"
42,"['penduduk', 'usia', 'produktif', 'dibanding', 'usia', 'nonproduktif']"
43,"['digitalisasi', 'sektor', 'keuangan', 'salah', 'game', 'changer', 'dunia', 'upaya', 'pulihbersama', 'akibat', 'pandemi', 'covi']"
44,"['direktur', 'utama', 'rumah', 'sakit', 'pusat', 'infeksi', 'sulianti', 'saroso', 'dr', 'mohammad', 'syahril', 'resmi', 'juru', 'bicara', 'kemenkes']"
45,"['pencapaian', 'diraih', 'agenda', 'prioritas', 'edwg', 'dibahas', 'solidaritas']"
46,"['dukungan', 'umkmgodigitalgoglobal', 'pembahasan', 'utama', 'kki', 'kegiatan']"
47,"['dunia', 'pendidikan', 'mengalami', 'pandemi', 'covid', 'salah', 'perhat']"
48,"['era', 'indonesia', 'berjalan', 'bangga', 'kepala', 'tegak', 'dihadapan', 'bangsa', 'tertunduk', 'tegak']"
49,"['finalisasi', 'dokumen', 'persidangan', 'pergantian', 'perwalian', 'anak', 'almh', 'farahberita', 'selengkapnya', 'silahkan', 'klik', 'link']"
50,"['empower', 'gelar', 'plenary', 'meeting', 'yogyakarta', 'dorong', 'kontribusi', 'peran', 'perempuan']"
51,"['hardiknas', 'rutan', 'jeneponto', 'gelar', 'upacara', 'bendera', 'peringati', 'pendidikan', 'nasional', 'selengkapnya', 'baca']"
52,"['hai', 'sohisebagai', 'pertemuan', 'konferensi', 'internasional', 'imf', 'world', 'bank', 'ktt']"
53,"['langsung', 'mendorong', 'perubahan', 'ukm', 'konvensional', 'digital', 'peran', 'teknologi']"
54,"['halo', 'sobatkom', 'indonesia', 'resmi', 'memegang', 'presidensi', 'penuh', 'manfaat']"
55,"['halo', 'sobatkom', 'pembentukan', 'bertujuan', 'mewujudkan', 'pertumbuhan', 'global', 'kuat', 'berkelanjutan', 'lantas']"
56,"['happy', 'vesak', 'daypray', 'for', 'peace', 'and', 'harmony', 'on', 'this', 'auspicious', 'dayselamat', 'raya', 'waisak', 'be']"
57,"['turnamen', 'final', 'arena', 'dr', 'zomboss', 'muncul', 'kembalipvz', 'arena', 'pennyspursuit', 'gindonesia']"
58,"['indonesia', 'gpedia', 'lapangan', 'kerja', 'berkelanjutan', 'agenda']"
59,"['indonesia', 'peluang', 'untukrewriting', 'global', 'ev', 'and', 'esg', 'supply', 'chain', 'xd', 'kombinasi', 'sumber', 'daya', 'alam', 'indust']"
60,"['diskusi', 'aspirasi', 'delegasi', 'negara', 'kemendikbudristek', 'ikuti', 'informasi']"
61,"['kelanjutan', 'kunjungan', 'menko', 'luhut', 'binsar', 'pandjaitan', 'dubes', 'rosan', 'roeslani', 'minggu']"
62,"['wargi', 'membantu', 'komunitas', 'lokal', 'menghadapi', 'tantangan', 'pemulihan', 'ekonomi', 'sosial']"
63,"['lewatkan', 'kuliah', 'peran', 'aktif', 'indonesia', 'upaya', 'indonesia', 'deeskalasi', 'konflik', 'rusiaukrain']"
