result_preprocessing,label
"['min', 'mainnakerpresidensiggindonesiaewgindonesia']",positif
"['ayo', 'takut', 'amerika', 'rusia', 'ketemu', 'bal', 'gindonesia', 'hebat', 'bu', 'da']",negatif
"['gera', 'nasional', 'literasi', 'digital', 'digital', 'talent', 'scholarship', 'digital', 'leadership', 'academy', 'program', 'kartu', 'prakerjalpsi']",positif
"['indonesia', 'indonesiajuara', 'indonesiahebatindonesiadamai']",positif
"['keren', 'bangetmas', 'memtri', 'program', 'merdeka', 'belajarnyagindonesia', 'presidensiindonesia']",positif
"['konsumen', 'konsumen', 'industri', 'rumah', 'tangga', 'daya', 'koperasi', 'koperasi']",positif
"['lapor', 'bisa', 'cewe', 'bego', 'bencong', 'joget', 'suka', 'mending', 'doa', 'perang']",negatif
"['yth', 'rencana', 'koperasi', 'core', 'values']",positif
"['bal', 'gindonesiaakan', 'putus']",negatif
"['cewe', 'bencong', 'joget', 'diteriakin', 'mending', 'doa', 'perang', 'event']",negatif
"['cewe', 'bego', 'bencong', 'joget', 'suka', 'mending', 'doa', 'perang', 'event']",negatif
"['cewe', 'bego', 'bencong', 'joget', 'tonton', 'mending', 'doa', 'perang', 'event']",negatif
"['gila', 'bencong', 'nari', 'tonton', 'pikirin', 'ancam', 'event', 'bal', 'indonesia']",negatif
"['gila', 'lo', 'bahas', 'perang', 'rusia', 'ukraina', 'formula', 'urus', 'bang', 'mending', 'lo', 'nonton']",negatif
"['amerika', 'negara', 'besara', 'negara', 'pro', 'damai', 'amerika', 'gindonesia']",positif
"['joget', 'kaya', 'bencong', 'nonton', 'org', 'indo', 'mikir', 'ancam', 'event']",negatif
"['kesel', 'gw', 'isi', 'twitter', 'bencong', 'joget', 'mikir', 'indonesia']",negatif
"['tetap', 'kota', 'bandung', 'jawa', 'barat', 'lokasi', 'selenggara', 'temu', 'kelompok', 'kerja']",positif
"['ngapain', 'lo', 'ngurusin', 'bencong', 'nari', 'pikirin', 'formula', 'ancam', 'event']",negatif
"['potensi', 'kuat', 'indonesia', 'bangun', 'kerja', 'konkret', 'usaha', 'amerika', 'serikat', 'indonesia', 'kemban']",positif
"['upaya', 'wujud', 'transformasi', 'digital', 'negeri', 'juang']",positif
"['berlangsungthe', 'sustainable', 'finance', 'private', 'sector', 'roundtable', 'xd', 'forum', 'diskus']",positif
"['acara', 'jg', 'momentum', 'kuat', 'promosi', 'produk', 'umkm', 'lokal', 'jalan', 'agenda', 'inklusi', 'uang', 'pd', 'presidensi']",positif
"['alhamdulillah', 'presiden', 'elon', 'musk', 'hadir', 'gindonesia', 'november']",positif
"['alhamdulillah', 'presiden', 'hadir', 'november']",positif
"['anggota', 'seru', 'perang', 'mungkinhal', 'menkeusmi', 'konferesi', 'pers', 'ada']",positif
"['women', 'business', 'action', 'council', 'wibac', 'gelar', 'temu', 'bilateral', 'menteri', 'koperasi', 'ukm', 'republik', 'indo']",positif
"['rencana', 'renovasi', 'kubah', 'gedung', 'dpr', 'streaming', 'jam', 'kanal', 'youtube']",positif
"['bahlil', 'presidensi', 'indonesia', 'momentum', 'baik', 'rangka', 'bangun', 'konsepsi', 'gl']",positif
"['dasar', 'lapor', 'climate', 'bonds', 'initiative', 'terbit', 'obligasi', 'hijau', 'green', 'bonds', 'indonesia', 'capai', 'us']",positif
"['berita', 'komitmen', 'indonesia', 'tunisia', 'buka', 'tingkat', 'kerjasama', 'bidang', 'ekonomi']",positif
"['besok', 'turnamen', 'final', 'arena', 'dr', 'zomboss', 'comebackpvz', 'arena', 'pennyspursuit', 'gindonesia']",positif
"['bonus', 'demografi', 'sempat', 'strategis', 'cepat', 'bangun', 'du']",positif
"['dewg', 'gindonesia', 'sepakat', 'isu', 'krusial', 'dunia', 'digital']",positif
"['ekosistem', 'didik', 'indonesia', 'gotong', 'royong', 'akselerasi', 'transformasi', 'seba']",positif
"['temu', 'kemendikbudristek', 'kuat', 'komitmen', 'pulihbersama', 'cipta', 'didik']",positif
"['rangka', 'luas', 'diskusi', 'selenggara', 'giat', 'road', 'to', 'investment', 'forum', 'topi']",positif
"['rangka', 'tingkat', 'upaya', 'strategis', 'gabung', 'cepat', 'transisi', 'energi', 'kurang', 'emisi', 'karbon']",positif
"['rangka', 'wujud', 'upaya', 'global', 'pulihbersama', 'cipta', 'didik', 'kualitas', 'dunia']",positif
"['delegasi', 'dewg', 'upaya', 'atas', 'senjang', 'digital', 'bahas', 'perangkat', 'ukur', 'terampil', 'lite']",positif
"['muka', 'temu', 'nd', 'global', 'partnership', 'for', 'financial', 'inclusion', 'plenary', 'meeting', 'diselenggarak']",positif
"['dana', 'fungsi', 'dukung', 'tahan', 'stabilitas', 'ekonomi', 'pulihbersama', 'asobat', 'pantau']",positif
"['duduk', 'usia', 'produktif', 'banding', 'usia', 'nonproduktif']",positif
"['digitalisasi', 'sektor', 'uang', 'salah', 'game', 'changer', 'dunia', 'upaya', 'pulihbersama', 'akibat', 'pandemi', 'covi']",positif
"['direktur', 'utama', 'rumah', 'sakit', 'pusat', 'infeksi', 'sulianti', 'saroso', 'dr', 'mohammad', 'syahril', 'resmi', 'juru', 'bicara', 'kemenkes']",positif
"['capai', 'raih', 'agenda', 'prioritas', 'edwg', 'bahas', 'solidaritas']",positif
"['dukung', 'umkmgodigitalgoglobal', 'bahas', 'utama', 'kki', 'giat']",positif
"['dunia', 'didik', 'alami', 'pandemi', 'covid', 'salah', 'perhat']",negatif
"['era', 'indonesia', 'jalan', 'bangga', 'kepala', 'tegak', 'hadap', 'bangsa', 'tunduk', 'tegak']",positif
"['final', 'dokumen', 'sidang', 'ganti', 'wali', 'anak', 'almh', 'farahberita', 'lengkap', 'silah', 'klik', 'link']",negatif
"['empower', 'gelar', 'plenary', 'meeting', 'yogyakarta', 'dorong', 'kontribusi', 'peran', 'perempuan']",positif
"['hardiknas', 'rutan', 'jeneponto', 'gelar', 'upacara', 'bendera', 'ingat', 'didik', 'nasional', 'lengkap', 'baca']",positif
"['hai', 'sohisebagai', 'temu', 'konferensi', 'internasional', 'imf', 'world', 'bank', 'ktt']",positif
"['langsung', 'dorong', 'ubah', 'ukm', 'konvensional', 'digital', 'peran', 'teknologi']",positif
